Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Ghana,GHA,"Human capital per capita, female (constant 2018 US$)",NW.HCA.FEMA.PC,5402.206,5525.329,5880.913,6105.488
Ghana,GHA,"Human capital per capita, male (constant 2018 US$)",NW.HCA.MALE.PC,10483.05,10711.74,11399.86,11845.98
Ghana,GHA,"Human capital per capita, self-employed female (constant 2018 US$)",NW.HCA.FSEM.PC,2300.565,2365.17,2515.278,2611.329
Ghana,GHA,"Human capital per capita, self-employed male (constant 2018 US$)",NW.HCA.MSEM.PC,4464.278,4585.263,4875.741,5066.548
Ghana,GHA,"Human capital, employed female (constant 2018 US$)",NW.HCA.FEMP.TO,86400000000,9.00E+10,9.80E+10,1.04E+11
Ghana,GHA,"Human capital, employed male (constant 2018 US$)",NW.HCA.MEMP.TO,1.68E+11,1.74E+11,1.90E+11,2.02E+11
Ghana,GHA,"Human capital, female (constant 2018 US$)",NW.HCA.FEMA.TO,1.50E+11,1.57E+11,1.71E+11,1.82E+11
Ghana,GHA,"Human capital, male (constant 2018 US$)",NW.HCA.MALE.TO,2.92E+11,3.05E+11,3.32E+11,3.53E+11
Ghana,GHA,"Human capital, self-employed female (constant 2018 US$)",NW.HCA.FSEM.TO,64100000000,6.74E+10,7.32E+10,7.77E+10
Ghana,GHA,"Human capital, self-employed male (constant 2018 US$)",NW.HCA.MSEM.TO,1.24E+11,1.31E+11,1.42E+11,1.51E+11
Ghana,GHA,Natural capital (constant 2018 US$),NW.NCA.TO,1.97E+11,1.91E+11,1.88E+11,1.80E+11
Ghana,GHA,Natural capital per capita (constant 2018 US$),NW.NCA.PC,7062.482,6699.732,6451.336,6031.105
Ghana,GHA,"Natural capital per capita, agricultural land (constant 2018 US$)",NW.NCA.AGRI.PC,2707.941,2540.992,2465.518,2475.416
Ghana,GHA,"Natural capital per capita, agricultural land: cropland (constant 2018 US$)",NW.NCA.CROL.PC,2500.364,2357.55,2308.001,2335.296
